Age,Gender,HSC_P,SSC_P,Stream,Internships,CGPA,HistoryOfBacklogs,Placed
21,Male,83,79,Electrical,3,6,1,0
21,Female,94,85,Electronics And Communication,3,6,0,1
21,Male,85,92,Computer Science,1,7,0,1
21,Male,93,86,Electronics And Communication,0,8,0,1
21,Male,86,90,Civil,0,8,0,1
21,Male,80,76,Electronics And Communication,0,8,0,1
21,Female,86,73,Electrical,1,8,0,1
21,Male,83,68,Computer Science,2,9,1,1
22,Male,88,78,Computer Science,0,8,0,1
21,Male,93,76,Information Technology,0,8,0,1
21,Male,84,74,Information Technology,0,9,0,1
21,Male,73,83,Information Technology,1,8,0,1
22,Male,91,74,Mechanical,0,9,0,1
22,Male,79,89,Computer Science,1,9,0,1
21,Male,89,69,Information Technology,0,8,0,1
22,Male,89,92,Computer Science,2,9,0,1
21,Male,75,66,Mechanical,0,8,1,1
22,Male,73,80,Electrical,1,8,0,1
22,Male,71,93,Information Technology,0,9,0,1
22,Male,75,72,Computer Science,3,9,0,1
21,Male,73,90,Information Technology,0,8,0,1
22,Male,84,85,Information Technology,1,9,0,1
21,Male,87,80,Civil,0,8,0,1
21,Male,79,87,Mechanical,0,9,0,1
22,Male,70,68,Mechanical,0,8,1,1
22,Male,88,72,Information Technology,0,8,0,1
21,Male,77,91,Computer Science,1,8,0,1
21,Male,86,71,Civil,0,9,0,1
21,Male,82,70,Computer Science,1,9,0,1
22,Male,76,74,Mechanical,0,8,0,1
21,Male,85,72,Information Technology,0,8,0,1
21,Male,86,78,Mechanical,0,8,0,1
21,Male,87,87,Electronics And Communication,2,7,0,1
21,Male,88,91,Computer Science,0,8,0,1
21,Male,78,82,Computer Science,0,6,0,0
22,Female,94,85,Civil,1,6,0,0
22,Male,95,87,Mechanical,1,7,0,0
21,Male,84,88,Civil,1,8,1,1
22,Male,82,67,Information Technology,1,6,0,1
21,Male,87,94,Electrical,1,6,0,1
22,Female,73,84,Information Technology,2,7,0,0
22,Male,88,90,Electronics And Communication,0,6,0,0
22,Male,79,91,Computer Science,1,8,0,1
21,Male,71,78,Computer Science,2,7,0,0
22,Male,80,85,Information Technology,0,8,0,1
22,Female,77,66,Information Technology,0,7,0,0
21,Male,80,72,Mechanical,0,7,0,0
23,Male,84,73,Computer Science,0,7,0,1
23,Male,84,84,Civil,0,6,0,1
23,Male,74,75,Mechanical,1,5,0,0
24,Male,94,80,Information Technology,2,6,0,1
23,Male,91,76,Electrical,0,5,0,0
23,Male,78,82,Information Technology,1,6,0,0
24,Female,75,66,Information Technology,0,6,0,1
24,Male,89,78,Information Technology,1,7,0,1
24,Male,82,89,Civil,1,7,1,1
23,Male,71,85,Information Technology,1,7,0,1
23,Male,87,68,Information Technology,1,6,0,1
24,Male,71,79,Electronics And Communication,1,6,1,1
24,Male,87,94,Electrical,0,7,0,0
23,Male,79,76,Information Technology,1,6,0,0
24,Male,89,75,Computer Science,0,6,0,1
23,Male,79,76,Electrical,0,6,0,0
23,Male,79,85,Information Technology,1,7,0,1
23,Male,91,79,Information Technology,1,7,0,1
24,Male,93,70,Information Technology,3,5,1,1
23,Male,75,88,Mechanical,0,6,0,1
23,Female,88,90,Information Technology,2,6,0,1
23,Male,74,70,Electronics And Communication,1,7,0,0
23,Male,78,76,Information Technology,1,5,0,1
23,Male,96,85,Information Technology,1,7,0,1
23,Male,75,88,Mechanical,2,7,0,1
24,Male,89,87,Information Technology,1,5,0,0
24,Male,79,81,Information Technology,1,7,0,0
24,Male,76,85,Computer Science,2,7,0,1
24,Male,77,79,Electronics And Communication,0,5,0,0
24,Male,71,79,Information Technology,1,7,0,1
23,Male,89,74,Mechanical,0,6,1,1
23,Male,84,70,Computer Science,0,6,0,0
23,Female,91,75,Mechanical,1,7,0,0
24,Male,82,93,Computer Science,1,6,0,1
23,Male,72,93,Mechanical,1,6,1,1
24,Male,92,89,Computer Science,0,6,0,1
24,Male,74,72,Mechanical,0,6,0,1
24,Male,89,86,Information Technology,0,5,0,1
23,Male,96,75,Electrical,0,5,0,0
24,Male,75,90,Electrical,0,5,0,0
23,Male,71,67,Computer Science,1,5,0,1
23,Male,71,84,Electronics And Communication,0,7,0,1
24,Male,73,69,Information Technology,3,7,0,1
24,Male,95,80,Computer Science,2,5,0,1
24,Male,77,72,Computer Science,2,5,0,1
23,Male,80,77,Civil,0,7,0,1
24,Male,92,71,Information Technology,1,6,0,1
23,Male,90,76,Mechanical,0,5,1,0
23,Male,84,72,Electrical,0,6,0,0
24,Male,71,67,Computer Science,1,7,0,1
23,Male,71,91,Electrical,0,5,0,0
24,Female,79,91,Information Technology,0,5,0,0
23,Male,96,81,Computer Science,1,5,0,1
23,Female,96,89,Electronics And Communication,2,6,0,0
24,Male,88,72,Civil,0,7,0,1
24,Male,72,86,Electronics And Communication,2,6,0,1
23,Male,93,91,Information Technology,0,5,0,0
24,Male,72,75,Computer Science,2,6,0,1
23,Male,82,77,Computer Science,1,6,0,0
24,Male,77,69,Computer Science,0,7,1,1
22,Male,72,71,Electronics And Communication,0,7,0,1
22,Male,81,66,Mechanical,0,5,0,0
22,Male,95,70,Computer Science,1,5,0,0
21,Male,76,82,Computer Science,1,6,0,1
21,Male,83,88,Civil,3,6,0,1
21,Male,95,90,Computer Science,0,6,1,1
21,Male,73,76,Electrical,0,5,0,0
21,Female,94,85,Information Technology,1,6,0,0
22,Male,92,66,Computer Science,1,5,0,0
22,Male,82,78,Computer Science,1,5,0,0
21,Male,78,88,Civil,1,6,0,1
21,Female,76,84,Information Technology,2,5,0,0
21,Male,79,68,Information Technology,1,6,0,1
22,Male,81,87,Civil,0,6,0,0
22,Male,87,93,Civil,0,7,1,0
21,Male,76,88,Information Technology,0,7,0,1
21,Male,96,89,Electronics And Communication,0,7,0,1
22,Female,90,72,Information Technology,1,7,0,0
22,Male,78,90,Electrical,1,6,0,1
21,Female,91,79,Mechanical,1,5,0,0
22,Female,85,92,Information Technology,1,6,0,0
22,Male,76,68,Computer Science,2,6,0,1
21,Male,92,87,Electronics And Communication,1,6,1,0
22,Male,71,79,Civil,0,5,0,0
21,Male,78,92,Electrical,2,5,1,0
22,Male,93,89,Civil,1,7,0,0
21,Female,88,69,Computer Science,1,7,0,0
21,Male,73,70,Computer Science,1,6,0,0
22,Female,90,69,Electronics And Communication,1,5,0,0
21,Female,77,86,Information Technology,0,6,0,0
22,Male,79,78,Computer Science,0,5,0,0
22,Male,84,81,Computer Science,0,5,0,0
21,Male,72,84,Mechanical,0,7,0,0
21,Male,76,81,Computer Science,0,5,0,0
21,Male,78,73,Information Technology,0,5,1,0
22,Female,96,93,Computer Science,1,5,0,0
21,Male,89,80,Electronics And Communication,2,6,1,0
21,Male,82,89,Information Technology,1,5,1,0
22,Female,79,93,Computer Science,2,7,0,0
21,Male,96,70,Computer Science,0,8,0,1
21,Male,70,72,Computer Science,2,7,0,1
22,Male,83,70,Computer Science,1,6,0,0
21,Female,94,85,Information Technology,2,6,0,1
21,Male,80,87,Electronics And Communication,1,7,0,0
21,Female,84,70,Computer Science,1,7,0,0
21,Male,85,84,Mechanical,0,8,0,1
22,Male,84,87,Mechanical,0,8,0,1
22,Male,96,81,Information Technology,1,6,0,0
21,Female,75,88,Electrical,0,7,0,0
21,Male,87,94,Mechanical,0,8,0,1
21,Male,71,83,Computer Science,2,8,0,1
21,Male,78,75,Information Technology,1,7,0,0
22,Male,76,86,Information Technology,0,6,1,0
22,Male,78,88,Information Technology,1,8,0,1
21,Male,93,71,Electrical,1,7,0,1
21,Female,71,71,Civil,1,6,0,0
21,Male,73,94,Computer Science,3,6,0,1
21,Male,85,79,Civil,1,7,0,0
22,Male,89,89,Electrical,1,7,0,0
21,Male,87,70,Electronics And Communication,2,6,1,0
22,Male,76,74,Electrical,1,8,1,1
22,Male,77,74,Computer Science,2,8,0,1
21,Male,95,67,Mechanical,1,6,1,0
22,Male,84,80,Computer Science,0,7,0,0
22,Male,96,74,Civil,0,6,0,0
21,Male,77,91,Civil,0,6,0,0
21,Female,79,93,Computer Science,1,7,0,0
21,Male,72,68,Computer Science,2,7,0,1
21,Female,79,78,Mechanical,1,6,0,0
22,Male,93,75,Mechanical,0,6,0,0
22,Male,91,94,Electronics And Communication,1,8,0,1
22,Male,80,76,Computer Science,1,8,0,1
21,Female,77,67,Information Technology,0,8,0,1
22,Male,83,81,Information Technology,1,7,0,0
21,Male,86,89,Information Technology,0,8,1,1
22,Male,92,94,Computer Science,1,8,0,1
22,Male,80,81,Computer Science,1,7,0,0
21,Female,91,94,Information Technology,2,7,0,1
21,Female,90,68,Mechanical,1,8,0,1
21,Female,71,80,Computer Science,1,6,0,0
22,Female,74,83,Information Technology,1,7,0,0
22,Female,96,77,Computer Science,0,6,0,0
21,Male,74,74,Information Technology,2,8,0,1
22,Male,94,76,Civil,0,7,1,0
21,Male,79,79,Electrical,1,6,0,0
21,Male,70,68,Electronics And Communication,2,6,0,1
21,Male,96,84,Mechanical,1,7,0,0
22,Male,78,76,Civil,0,7,0,0
22,Female,80,81,Electrical,1,6,0,0
22,Male,95,91,Computer Science,0,8,0,1
21,Male,77,67,Computer Science,3,8,0,1
21,Female,79,76,Information Technology,0,8,1,1
22,Male,77,71,Electronics And Communication,0,6,0,0
22,Male,86,82,Civil,1,7,0,0
22,Male,72,75,Information Technology,1,8,1,1
22,Female,90,82,Computer Science,1,8,1,1
22,Male,86,76,Mechanical,1,8,0,1
21,Male,87,69,Electrical,2,6,0,1
22,Male,78,70,Electronics And Communication,1,6,0,0
22,Male,78,68,Information Technology,0,8,0,1
22,Female,77,89,Computer Science,1,7,0,0
21,Male,73,89,Information Technology,1,8,0,1
21,Male,89,87,Electrical,1,7,0,1
22,Male,92,78,Mechanical,0,8,1,1
21,Male,70,91,Civil,0,6,0,0
21,Male,79,79,Information Technology,1,6,0,0
21,Female,81,83,Information Technology,1,8,0,1
22,Male,78,85,Electronics And Communication,1,8,1,1
21,Male,73,73,Civil,1,7,0,0
22,Male,75,81,Information Technology,2,6,0,1
21,Male,74,66,Electrical,0,6,0,0
22,Male,72,73,Information Technology,1,7,1,0
21,Male,94,82,Electronics And Communication,0,6,0,0
22,Male,70,69,Computer Science,0,8,1,1
21,Male,75,73,Electronics And Communication,1,7,0,0
22,Male,92,73,Mechanical,0,6,0,0
21,Male,75,85,Civil,0,7,0,0
21,Female,76,93,Civil,1,7,0,0
21,Male,91,69,Computer Science,1,7,0,0
21,Male,86,75,Information Technology,0,6,1,1
21,Female,70,72,Electronics And Communication,2,7,0,1
22,Female,86,73,Mechanical,1,8,0,1
21,Male,96,70,Mechanical,0,6,1,1
21,Male,91,77,Civil,0,7,0,1
22,Male,85,71,Electronics And Communication,0,8,0,1
21,Male,86,66,Electronics And Communication,1,6,1,1
21,Male,89,87,Mechanical,2,6,0,0
22,Male,74,73,Computer Science,0,8,0,1
21,Male,84,84,Civil,0,7,0,0
22,Male,87,83,Information Technology,0,7,0,0
22,Male,72,88,Computer Science,0,7,0,0
22,Male,91,84,Civil,1,6,0,0
22,Female,80,75,Computer Science,2,6,1,0
22,Male,72,84,Electronics And Communication,0,7,0,1
21,Male,90,69,Civil,0,8,0,1
21,Male,80,70,Civil,0,8,0,1
22,Male,95,78,Computer Science,2,6,0,1
22,Male,81,69,Computer Science,2,7,0,1
22,Male,74,66,Electronics And Communication,1,7,1,1
21,Male,94,89,Information Technology,2,7,0,1
22,Male,75,89,Civil,0,6,0,0
22,Male,76,89,Civil,1,6,0,1
21,Male,75,75,Electronics And Communication,0,7,0,0
21,Male,79,85,Information Technology,0,7,0,1
22,Male,89,74,Electronics And Communication,1,8,0,1
22,Male,78,85,Computer Science,0,6,1,0
22,Male,78,91,Electrical,2,8,1,1
22,Male,89,73,Information Technology,0,6,1,1
22,Female,76,88,Computer Science,1,6,0,1
21,Male,73,72,Electrical,0,8,0,1
21,Male,70,75,Computer Science,1,7,0,1
22,Male,83,71,Information Technology,2,7,1,1
22,Female,84,80,Computer Science,1,8,0,1
22,Male,91,86,Civil,0,6,0,1
22,Male,95,80,Mechanical,0,6,0,1
22,Male,94,91,Civil,0,7,0,0
22,Female,91,77,Information Technology,0,6,0,1
22,Male,81,79,Electrical,1,8,0,1
21,Female,79,90,Computer Science,0,6,0,0
21,Male,94,92,Computer Science,1,6,0,1
21,Male,89,80,Computer Science,0,8,0,1
21,Male,83,93,Mechanical,0,7,1,1
21,Male,76,87,Computer Science,2,8,0,1
22,Male,79,73,Civil,0,8,0,1
21,Male,93,70,Mechanical,1,6,0,0
22,Male,83,68,Computer Science,0,8,0,1
21,Male,81,72,Computer Science,1,8,0,1
21,Male,88,68,Electronics And Communication,0,6,0,0
22,Male,78,80,Electronics And Communication,1,6,1,0
22,Male,79,83,Information Technology,0,8,0,1
21,Male,90,79,Computer Science,1,6,0,0
22,Female,70,92,Electrical,0,6,0,1
22,Male,85,90,Electronics And Communication,0,7,0,0
21,Male,96,66,Information Technology,0,8,0,1
22,Male,80,93,Mechanical,0,8,1,1
22,Male,89,74,Mechanical,0,7,1,0
21,Male,73,93,Electronics And Communication,0,8,0,1
21,Male,78,89,Information Technology,1,6,0,0
22,Female,90,94,Computer Science,2,7,0,1
22,Male,82,89,Electronics And Communication,0,7,0,0
21,Male,82,71,Electronics And Communication,1,7,1,1
22,Male,70,74,Information Technology,0,8,0,1
21,Male,91,81,Information Technology,0,8,0,1
22,Female,93,88,Electrical,1,8,1,1
22,Male,77,80,Information Technology,1,6,0,1
22,Male,77,72,Mechanical,0,8,1,1
21,Male,91,80,Mechanical,0,6,0,1
21,Male,75,81,Electronics And Communication,1,8,0,1
21,Male,82,84,Civil,0,7,0,0
22,Female,86,66,Computer Science,1,8,0,1
22,Female,91,84,Information Technology,1,7,0,1
21,Male,91,80,Mechanical,1,6,0,0
21,Male,93,78,Mechanical,0,7,0,1
21,Male,74,93,Electronics And Communication,0,8,0,1
22,Male,73,82,Computer Science,0,6,0,1
22,Male,73,78,Electrical,0,6,1,0
21,Male,70,75,Information Technology,2,8,0,1
22,Male,71,92,Electrical,0,8,0,1
21,Male,77,85,Electronics And Communication,1,7,0,0
22,Male,86,70,Mechanical,0,7,0,1
22,Male,85,79,Electronics And Communication,0,7,0,0
21,Male,85,75,Computer Science,1,8,0,1
22,Male,87,66,Electronics And Communication,0,8,0,1
21,Male,80,68,Computer Science,0,8,1,1
21,Male,95,91,Information Technology,1,7,1,0
22,Male,74,85,Electronics And Communication,0,7,0,0
22,Male,91,66,Computer Science,1,6,0,0
21,Male,86,88,Computer Science,0,8,1,1
21,Female,76,71,Electrical,0,6,0,0
21,Male,94,84,Information Technology,0,6,0,0
22,Male,80,70,Computer Science,2,8,0,1
21,Female,81,88,Computer Science,1,7,0,0
22,Male,96,91,Information Technology,0,6,0,0
22,Male,87,75,Information Technology,0,6,0,0
22,Male,81,77,Civil,1,6,0,0
22,Male,75,93,Mechanical,0,7,0,0
21,Male,87,89,Mechanical,0,8,0,1
21,Female,88,93,Information Technology,0,6,0,0
21,Male,85,70,Mechanical,1,6,1,0
22,Male,80,90,Computer Science,0,7,1,0
21,Male,96,87,Computer Science,0,7,0,0
22,Male,72,93,Information Technology,0,8,0,1
21,Male,87,84,Computer Science,0,6,0,0
21,Male,81,75,Information Technology,1,6,0,0
22,Female,82,90,Electronics And Communication,1,6,1,0
21,Male,78,68,Information Technology,0,6,0,0
21,Male,76,87,Computer Science,1,8,0,1
22,Male,76,75,Mechanical,1,6,0,0
22,Female,89,78,Electronics And Communication,0,7,0,0
22,Female,70,73,Information Technology,0,7,1,0
22,Male,71,70,Civil,0,6,0,0
22,Male,80,89,Mechanical,0,8,0,1
21,Male,95,72,Electronics And Communication,0,8,0,1
22,Male,90,84,Computer Science,1,6,0,0
21,Male,82,73,Mechanical,0,6,0,0
21,Male,89,89,Information Technology,1,8,0,1
21,Male,91,77,Electronics And Communication,1,8,1,1
21,Male,89,70,Electronics And Communication,2,8,0,1
21,Female,73,85,Electronics And Communication,2,7,0,1
21,Male,91,74,Information Technology,0,6,1,0
22,Male,89,72,Electrical,0,6,0,0
22,Male,75,87,Mechanical,1,6,0,0
21,Male,85,83,Electronics And Communication,1,6,1,0
21,Female,74,92,Information Technology,1,5,0,0
21,Female,89,71,Computer Science,0,6,1,0
22,Male,76,74,Information Technology,1,5,0,0
21,Male,93,73,Mechanical,1,5,1,0
21,Male,73,78,Information Technology,2,6,0,1
21,Male,70,91,Computer Science,2,5,1,0
22,Male,81,71,Electrical,0,5,0,0
21,Male,79,72,Information Technology,0,5,1,0
22,Male,85,92,Electronics And Communication,2,7,1,0
21,Male,92,75,Electrical,0,7,1,0
21,Male,90,70,Electronics And Communication,1,6,1,0
22,Male,96,78,Computer Science,1,6,0,0
22,Male,92,67,Mechanical,0,6,0,0
22,Male,95,79,Computer Science,2,6,0,1
21,Male,87,88,Electrical,0,6,0,0
22,Male,93,72,Civil,0,6,0,0
22,Male,84,81,Information Technology,0,7,0,0
21,Male,86,73,Computer Science,0,6,1,0
22,Male,86,70,Electrical,2,6,1,0
22,Male,73,93,Computer Science,1,6,0,0
21,Male,70,81,Computer Science,1,7,0,0
22,Male,87,83,Mechanical,0,8,0,1
21,Male,92,74,Electrical,3,7,0,1
22,Male,77,86,Mechanical,0,8,1,1
21,Male,82,75,Electrical,0,6,0,0
21,Female,76,80,Computer Science,0,8,0,1
21,Male,73,91,Computer Science,0,7,0,0
21,Female,87,67,Electrical,1,6,0,0
22,Female,73,72,Civil,1,8,0,1
21,Male,72,88,Civil,0,8,0,1
21,Male,75,80,Information Technology,1,6,0,0
21,Male,91,73,Computer Science,1,6,0,0
21,Male,83,89,Mechanical,0,6,1,0
21,Male,72,92,Civil,0,7,0,0
21,Female,91,74,Information Technology,1,8,0,1
22,Male,96,89,Civil,0,8,0,1
22,Male,88,66,Computer Science,0,7,1,0
21,Male,88,69,Electrical,0,6,0,0
21,Male,86,85,Electrical,1,6,1,0
22,Male,83,67,Electronics And Communication,1,8,1,1
21,Male,77,75,Computer Science,0,7,1,0
21,Male,95,67,Computer Science,0,7,1,0
21,Male,78,94,Civil,1,8,1,1
22,Male,70,81,Information Technology,0,8,0,1
21,Male,83,66,Electronics And Communication,0,6,0,0
28,Male,81,80,Civil,0,8,0,1
21,Male,75,83,Computer Science,2,7,0,1
22,Male,82,71,Electronics And Communication,2,6,0,1
21,Male,77,72,Information Technology,1,8,0,1
22,Male,86,83,Mechanical,0,6,0,1
21,Male,73,83,Mechanical,0,8,0,1
21,Male,93,84,Information Technology,1,6,0,0
22,Female,77,77,Mechanical,1,7,0,0
22,Male,86,84,Electronics And Communication,0,8,0,1
21,Male,87,69,Electrical,0,6,0,0
21,Male,90,88,Mechanical,0,6,0,1
22,Male,91,67,Mechanical,0,7,0,0
22,Male,82,91,Electronics And Communication,1,6,1,0
22,Male,79,90,Computer Science,0,7,1,1
21,Male,89,73,Computer Science,0,7,0,1
22,Male,91,74,Computer Science,0,8,1,1
22,Male,73,66,Information Technology,1,6,0,0
21,Male,75,82,Electronics And Communication,0,6,0,0
22,Male,81,81,Computer Science,0,6,0,1
21,Male,92,66,Civil,0,6,0,1
22,Female,81,83,Information Technology,1,8,0,1
21,Male,85,84,Information Technology,1,8,0,1
21,Male,82,77,Mechanical,0,8,0,1
22,Male,82,72,Civil,0,6,0,0
22,Male,72,93,Electrical,0,7,1,0
21,Male,88,69,Information Technology,1,6,1,1
21,Male,76,83,Mechanical,1,6,0,0
22,Male,71,67,Mechanical,0,6,1,1
22,Female,88,91,Information Technology,0,7,0,1
22,Male,86,68,Information Technology,2,7,0,0
21,Male,96,86,Computer Science,3,8,0,1
22,Male,72,66,Computer Science,0,6,0,1
21,Male,70,67,Computer Science,0,8,1,1
21,Female,95,90,Information Technology,1,8,1,1
21,Female,83,70,Computer Science,0,8,1,1
22,Male,73,94,Information Technology,1,6,0,1
21,Male,82,72,Electronics And Communication,0,8,1,1
22,Female,96,91,Mechanical,1,7,0,0
21,Male,94,87,Information Technology,1,8,0,1
22,Male,93,90,Electrical,0,6,0,0
22,Male,77,75,Mechanical,0,7,0,0
22,Male,82,71,Civil,0,6,0,0
22,Male,92,72,Information Technology,0,6,1,1
22,Male,70,74,Electronics And Communication,1,7,0,0
21,Male,71,88,Information Technology,1,8,0,1
22,Male,96,78,Electrical,1,7,0,0
22,Male,73,89,Mechanical,0,6,0,1
21,Male,81,76,Civil,2,6,0,1
22,Male,85,66,Electronics And Communication,0,6,0,1
21,Male,92,73,Computer Science,0,7,0,1
22,Male,75,89,Mechanical,0,7,1,0
22,Male,85,73,Mechanical,2,7,0,1
22,Male,70,81,Mechanical,0,7,0,1
21,Male,80,92,Computer Science,0,7,0,0
22,Male,88,69,Computer Science,1,7,0,1
21,Male,94,74,Electrical,0,6,0,1
22,Male,82,75,Civil,0,6,0,0
21,Male,77,70,Information Technology,3,8,0,1
22,Female,80,78,Electronics And Communication,3,8,1,1
21,Male,84,87,Information Technology,0,7,1,1
21,Male,75,88,Computer Science,1,8,0,1
21,Male,84,77,Information Technology,0,7,0,0
21,Male,84,71,Mechanical,2,6,0,1
22,Male,79,92,Mechanical,0,8,0,1
21,Female,89,82,Computer Science,1,8,0,1
22,Male,76,89,Electrical,0,8,1,1
21,Male,76,72,Civil,1,8,0,1
22,Female,89,89,Computer Science,1,7,0,0
21,Male,77,91,Electrical,0,7,0,0
21,Female,93,70,Information Technology,0,7,0,0
21,Female,95,68,Computer Science,1,8,0,1
21,Male,95,84,Computer Science,1,8,0,1
21,Male,91,77,Electronics And Communication,1,6,0,0
22,Male,74,92,Mechanical,0,8,0,1
22,Male,80,89,Electronics And Communication,1,8,0,1
21,Male,91,70,Computer Science,1,6,0,0
21,Male,72,83,Civil,0,7,0,0
22,Male,79,84,Electronics And Communication,1,7,1,0
22,Male,82,66,Electrical,1,7,0,0
22,Male,78,86,Electrical,0,8,0,1
21,Male,75,84,Information Technology,1,8,0,1
22,Male,74,93,Mechanical,2,7,0,0
21,Male,91,85,Civil,0,6,1,0
22,Male,92,93,Mechanical,1,6,0,0
22,Male,89,77,Electronics And Communication,1,7,0,0
22,Male,89,78,Mechanical,1,7,0,0
22,Female,72,92,Mechanical,1,8,0,1
21,Male,72,71,Computer Science,0,7,1,0
21,Male,77,88,Electronics And Communication,0,8,0,1
21,Male,80,68,Mechanical,1,7,0,0
22,Male,76,90,Information Technology,0,7,0,0
21,Male,83,91,Computer Science,2,7,0,1
22,Male,76,78,Civil,1,8,0,1
22,Male,96,71,Electronics And Communication,0,8,0,1
22,Male,85,80,Mechanical,0,7,0,0
22,Male,90,79,Information Technology,1,7,0,0
22,Male,78,76,Computer Science,1,6,0,0
21,Male,76,68,Computer Science,1,6,0,0
22,Female,77,77,Civil,1,6,0,0
21,Female,96,91,Civil,1,8,0,1
22,Female,78,76,Computer Science,1,7,0,0
21,Male,81,92,Mechanical,1,8,0,1
30,Male,80,90,Computer Science,1,8,0,1
22,Male,82,90,Information Technology,0,8,1,1
21,Male,94,77,Information Technology,1,7,1,0
22,Female,95,74,Electronics And Communication,0,7,0,0
22,Male,71,81,Information Technology,1,8,0,1
22,Male,76,86,Civil,1,7,0,0
22,Male,76,79,Electrical,1,6,1,0
21,Female,77,94,Civil,1,7,1,0
21,Male,71,93,Computer Science,0,6,0,0
22,Male,83,84,Electrical,1,7,0,0
21,Male,95,76,Information Technology,0,8,1,1
21,Male,85,90,Computer Science,1,7,0,0
22,Male,73,74,Electrical,1,7,1,0
22,Male,91,80,Electrical,0,8,0,1
22,Male,75,89,Electrical,1,7,0,0
21,Male,86,73,Computer Science,1,7,0,0
21,Male,74,84,Computer Science,2,7,0,1
21,Male,79,81,Computer Science,0,7,0,0
22,Male,94,90,Electrical,0,7,1,0
22,Male,94,88,Computer Science,2,6,0,1
22,Male,91,80,Electronics And Communication,0,8,0,1
21,Male,89,81,Electrical,0,7,0,0
22,Male,95,72,Information Technology,1,6,0,0
21,Male,71,91,Computer Science,0,7,0,0
22,Female,82,69,Information Technology,0,8,0,1
22,Male,79,75,Electronics And Communication,1,7,0,0
21,Male,70,93,Information Technology,0,6,0,0
21,Male,75,94,Civil,0,7,0,0
22,Male,73,71,Electrical,1,8,0,1
22,Male,92,80,Computer Science,0,6,0,0
21,Male,93,87,Information Technology,0,7,0,0
21,Male,71,70,Civil,1,8,0,1
21,Male,94,66,Computer Science,1,7,0,0
22,Male,73,72,Civil,0,7,0,0
21,Male,86,90,Computer Science,2,7,1,0
22,Female,81,79,Electronics And Communication,0,8,0,1
21,Male,72,72,Computer Science,1,7,0,0
22,Male,75,77,Computer Science,1,6,0,0
21,Male,96,91,Computer Science,0,7,1,0
21,Male,96,88,Electronics And Communication,1,7,0,1
21,Male,88,81,Information Technology,1,8,1,1
21,Male,81,89,Electronics And Communication,0,7,0,1
22,Male,80,68,Information Technology,2,6,0,1
22,Male,74,73,Computer Science,1,6,0,0
21,Male,96,67,Electronics And Communication,0,7,0,1
22,Male,92,81,Computer Science,1,6,0,1
21,Male,75,74,Electronics And Communication,0,8,0,1
22,Female,87,74,Information Technology,0,8,0,1
22,Male,83,94,Information Technology,1,7,0,0
21,Male,85,67,Information Technology,2,6,0,1
21,Male,91,83,Computer Science,2,8,0,1
22,Female,79,68,Information Technology,2,7,0,1
